book_id, book_link
359, https://www.amazon.ca/Heroes-Olympus-Demigod-Diaries/dp/1423163001/
278, https://www.amazon.ca/Eoin-Colfer-Artemis-Fowl-Graphic/dp/1368043143/
483, https://www.amazon.ca/Running-Blind-Lee-Child/dp/0515143502/
266, https://www.amazon.ca/As-You-Like-William-Shakespeare/dp/1982109408/
267, https://www.amazon.ca/Captain-Corellis-Mandolin-Louis-Bernieres/dp/1784702439/
273, https://www.amazon.ca/Good-Night-Mr-Michelle-Magorian/dp/0808579673/
305, https://www.amazon.ca/Aenir-Garth-Nix/dp/0613322479/
306, https://www.amazon.ca/Castle-Garth-Nix/dp/0613323815/
144, https://www.amazon.ca/Hacking-Art-Exploitation-Jon-Erickson/dp/1593271441/
147, https://www.amazon.ca/Gaston-Leroux-Phantom-Opera/dp/1539961826/
276, https://www.amazon.ca/Rebecca-Daphne-du-Maurier/dp/0349010269/
277, https://www.amazon.ca/Introduction-Linear-Algebra-James-DeFranza/dp/0073532355/
161, https://www.amazon.ca/Nostromo-Tale-Seaboard-Joseph-Conrad/dp/0199555915/
307, https://www.amazon.ca/Fall-Garth-Nix/dp/0756935164/
360, https://www.amazon.ca/Heroes-Olympus-Book-Three-Athena/dp/1423140605/
172, https://www.amazon.ca/Across-River-Trees-Ernest-Hemingway/dp/0684844648/
289, https://www.amazon.ca/Horus-Heresy-Vengeful-Graham-McNeill/dp/1849708304/
292, https://www.amazon.ca/Deliverance-Lost-Gav-Thorpe/dp/1849708258/
295, https://www.amazon.ca/Prospero-Burns-Dan-Abnett/dp/1849708215/
303, https://www.amazon.ca/Into-Battle-Garth-Nix/dp/0613357507/
304, https://www.amazon.ca/Above-Veil-Garth-Nix/dp/0613357515/
185, https://www.amazon.ca/Jekyll-Hyde-Strange-Robert-Stevenson/dp/1511878061/
191, https://www.amazon.ca/Engineering-Mechanics-James-L-Meriam/dp/1119286972/
318, https://www.amazon.ca/Time-Quartet-Swiftly-Tilting-Wrinkle/dp/0440360374/
309, https://www.amazon.ca/Silver-Chair-C-S-Lewis/dp/0060234954/
310, https://www.amazon.ca/McGraw-Hills-Concise-Writing-Research-Papers/dp/0071629890/
315, https://www.amazon.ca/Enders-Game-Orson-Scott-Card/dp/0765394863/
382, https://www.amazon.ca/HALO-Glasslands-Book-Kilo-Five-Trilogy/dp/1982111836/
